Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 97, loss: 1.528958, test acc: 0.461318, test avg acc: 0.157948
Train 98, loss: 1.205624, train acc: 0.566244, train avg acc: 0.177783
Test 98, loss: 1.377356, test acc: 0.528387, test avg acc: 0.175882
Train 99, loss: 1.220561, train acc: 0.561395, train avg acc: 0.175215
Test 99, loss: 1.221919, test acc: 0.539712, test avg acc: 0.151605
Train 100, loss: 1.197213, train acc: 0.570695, train avg acc: 0.179513
Test 100, loss: 1.226417, test acc: 0.538232, test avg acc: 0.155945
Train 101, loss: 1.196861, train acc: 0.571141, train avg acc: 0.177947
Test 101, loss: 1.149032, test acc: 0.591209, test avg acc: 0.182001
Train 102, loss: 1.209128, train acc: 0.567842, train avg acc: 0.177083
Test 102, loss: 1.166606, test acc: 0.567346, test avg acc: 0.167602
Train 103, loss: 1.166495, train acc: 0.588537, train avg acc: 0.185496
Test 103, loss: 1.132533, test acc: 0.618514, test avg acc: 0.189845
Train 104, loss: 1.187977, train acc: 0.576383, train avg acc: 0.179223
Test 104, loss: 1.284542, test acc: 0.513531, test avg acc: 0.143089
Train 105, loss: 1.185277, train acc: 0.581172, train avg acc: 0.182069
Test 105, loss: 1.232871, test acc: 0.544853, test avg acc: 0.182696
Train 106, loss: 1.155216, train acc: 0.593930, train avg acc: 0.188202
Test 106, loss: 1.114861, test acc: 0.630631, test avg acc: 0.197346
Train 107, loss: 1.184924, train acc: 0.577463, train avg acc: 0.180902
Test 107, loss: 1.130291, test acc: 0.620322, test avg acc: 0.194064
Train 108, loss: 1.166577, train acc: 0.591815, train avg acc: 0.186737
Test 108, loss: 1.120492, test acc: 0.630654, test avg acc: 0.197830
